gene,chr,start,end,strand,family
CYP2C8,chr10,95036772,95069497,-,CYP
CYP2C9,chr10,94938658,94990091,+,CYP
CYP2D6,chr22,42126499,42130865,-,CYP
CYP3A4,chr7,99756960,99784248,-,CYP
CYP3A5,chr7,99648194,99679996,-,CYP
CYP4F2,chr19,15878023,15898077,-,CYP
NAT2,chr8,18391282,18401218,+,CYP
NUDT15,chr13,48037726,48047221,+,CYP
SLCO1B1,chr12,21131194,21239796,+,CYP
TRAV1-1,chr14,21621838,21622567,+,IG_TR
TRAV1-2,chr14,21642889,21643578,+,IG_TR
TRAV2,chr14,21712321,21712843,+,IG_TR
TRAV3,chr14,21723713,21724321,+,IG_TR
TRAV4,chr14,21736152,21736982,+,IG_TR
TRAV5,chr14,21749178,21749705,+,IG_TR
TRAV6,chr14,21768489,21769080,+,IG_TR
TRAV7,chr14,21782993,21783503,+,IG_TR
TRAV8-1,chr14,21797287,21797886,+,IG_TR
TRAV9-1,chr14,21811502,21811977,+,IG_TR
TRAV10,chr14,21825472,21826075,+,IG_TR
TRAV11,chr14,21829539,21830070,+,IG_TR
TRAV12-1,chr14,21841240,21841774,+,IG_TR
TRAV8-2,chr14,21846537,21847221,+,IG_TR
TRAV8-3,chr14,21852558,21853006,+,IG_TR
TRAV13-1,chr14,21868839,21869365,+,IG_TR
TRAV12-2,chr14,21887857,21888502,+,IG_TR
TRAV8-4,chr14,21894433,21895030,+,IG_TR
TRAV13-2,chr14,21918188,21918756,+,IG_TR
TRAV9-2,chr14,21941128,21941657,+,IG_TR
TRAV12-3,chr14,21965451,21966061,+,IG_TR
TRAV8-6,chr14,21978459,21979120,+,IG_TR
TRAV16,chr14,21990496,21990938,+,IG_TR
TRAV17,chr14,21997539,21998168,+,IG_TR
TRAV18,chr14,22003106,22003673,+,IG_TR
TRAV19,chr14,22007512,22008181,+,IG_TR
TRAV20,chr14,22040594,22041153,+,IG_TR
TRAV21,chr14,22052514,22053056,+,IG_TR
TRAV22,chr14,22070557,22071208,+,IG_TR
TRDV1,chr14,22096032,22096619,+,IG_TR
TRAV24,chr14,22105343,22105846,+,IG_TR
TRAV25,chr14,22112347,22113031,+,IG_TR
TRAV26-1,chr14,22123318,22124285,+,IG_TR
TRAV8-7,chr14,22132553,22133034,+,IG_TR
TRAV27,chr14,22147995,22148633,+,IG_TR
TRAV30,chr14,22168429,22168988,+,IG_TR
TRAV26-2,chr14,22202583,22203368,+,IG_TR
TRAV34,chr14,22207522,22208129,+,IG_TR
TRAV35,chr14,22221896,22222475,+,IG_TR
TRAV38-1,chr14,22271968,22272563,+,IG_TR
TRAV39,chr14,22304054,22304553,+,IG_TR
TRAV40,chr14,22314490,22314919,+,IG_TR
TRAV41,chr14,22320188,22320691,+,IG_TR
TRDV2,chr14,22422371,22423042,+,IG_TR
TRDD1,chr14,22438547,22438554,+,IG_TR
TRDD2,chr14,22439007,22439015,+,IG_TR
TRDD3,chr14,22449113,22449125,+,IG_TR
TRDJ1,chr14,22450089,22450139,+,IG_TR
TRDJ4,chr14,22455249,22455296,+,IG_TR
TRDJ2,chr14,22456689,22456742,+,IG_TR
TRDJ3,chr14,22459098,22459156,+,IG_TR
TRDV3,chr14,22469041,22469698,-,IG_TR
TRAJ61,chr14,22475316,22475375,+,IG_TR
TRAJ60,chr14,22476306,22476362,+,IG_TR
TRAJ59,chr14,22476553,22476606,+,IG_TR
TRAJ58,chr14,22477707,22477769,+,IG_TR
TRAJ57,chr14,22478872,22478934,+,IG_TR
TRAJ56,chr14,22479521,22479582,+,IG_TR
TRAJ55,chr14,22481697,22481753,+,IG_TR
TRAJ54,chr14,22482287,22482346,+,IG_TR
TRAJ53,chr14,22483004,22483069,+,IG_TR
TRAJ52,chr14,22486228,22486296,+,IG_TR
TRAJ51,chr14,22487183,22487245,+,IG_TR
TRAJ50,chr14,22488593,22488652,+,IG_TR
TRAJ49,chr14,22489488,22489543,+,IG_TR
TRAJ48,chr14,22490491,22490553,+,IG_TR
TRAJ47,chr14,22492851,22492907,+,IG_TR
TRAJ46,chr14,22493403,22493465,+,IG_TR
TRAJ45,chr14,22493925,22493990,+,IG_TR
TRAJ44,chr14,22494821,22494883,+,IG_TR
TRAJ43,chr14,22495913,22495966,+,IG_TR
TRAJ42,chr14,22496887,22496952,+,IG_TR
TRAJ41,chr14,22497657,22497718,+,IG_TR
TRAJ40,chr14,22499689,22499749,+,IG_TR
TRAJ39,chr14,22501601,22501663,+,IG_TR
TRAJ38,chr14,22502231,22502292,+,IG_TR
TRAJ37,chr14,22503750,22503814,+,IG_TR
TRAJ36,chr14,22505110,22505167,+,IG_TR
TRAJ35,chr14,22506644,22506702,+,IG_TR
TRAJ34,chr14,22507666,22507723,+,IG_TR
TRAJ33,chr14,22508602,22508658,+,IG_TR
TRAJ32,chr14,22509341,22509406,+,IG_TR
TRAJ31,chr14,22510968,22511024,+,IG_TR
TRAJ30,chr14,22512852,22512908,+,IG_TR
TRAJ29,chr14,22513939,22513998,+,IG_TR
TRAJ28,chr14,22515623,22515688,+,IG_TR
TRAJ27,chr14,22516273,22516331,+,IG_TR
TRAJ26,chr14,22518446,22518505,+,IG_TR
TRAJ25,chr14,22518812,22518871,+,IG_TR
TRAJ24,chr14,22519969,22520031,+,IG_TR
TRAJ23,chr14,22520416,22520478,+,IG_TR
TRAJ22,chr14,22522040,22522102,+,IG_TR
TRAJ21,chr14,22523600,22523654,+,IG_TR
TRAJ20,chr14,22524325,22524381,+,IG_TR
TRAJ19,chr14,22525263,22525322,+,IG_TR
TRAJ18,chr14,22525650,22525715,+,IG_TR
TRAJ17,chr14,22526844,22526906,+,IG_TR
TRAJ16,chr14,22528527,22528586,+,IG_TR
TRAJ14,chr14,22530327,22530378,+,IG_TR
TRAJ13,chr14,22531076,22531138,+,IG_TR
TRAJ12,chr14,22531939,22531998,+,IG_TR
TRAJ11,chr14,22532502,22532561,+,IG_TR
TRAJ10,chr14,22533497,22533560,+,IG_TR
TRAJ9,chr14,22535554,22535614,+,IG_TR
TRAJ8,chr14,22536145,22536204,+,IG_TR
TRAJ7,chr14,22537622,22537680,+,IG_TR
TRAJ6,chr14,22539073,22539134,+,IG_TR
TRAJ5,chr14,22540247,22540306,+,IG_TR
TRAJ4,chr14,22542199,22542261,+,IG_TR
TRAJ3,chr14,22543179,22543240,+,IG_TR
TRAJ2,chr14,22544071,22544136,+,IG_TR
TRAJ1,chr14,22545037,22545098,+,IG_TR
IGHJ6,chr14,105863198,105863258,-,IG_TR
IGHJ5,chr14,105863814,105863862,-,IG_TR
IGHJ4,chr14,105864215,105864260,-,IG_TR
IGHJ3,chr14,105864587,105864635,-,IG_TR
IGHJ2,chr14,105865199,105865250,-,IG_TR
IGHJ1,chr14,105865407,105865458,-,IG_TR
IGHD7-27,chr14,105865551,105865561,-,IG_TR
IGHD1-26,chr14,105881034,105881053,-,IG_TR
IGHD6-25,chr14,105881539,105881556,-,IG_TR
IGHD5-24,chr14,105883903,105883922,-,IG_TR
IGHD4-23,chr14,105884870,105884888,-,IG_TR
IGHD3-22,chr14,105886031,105886061,-,IG_TR
IGHD2-21,chr14,105888551,105888578,-,IG_TR
IGHD1-20,chr14,105891191,105891207,-,IG_TR
IGHD6-19,chr14,105891699,105891719,-,IG_TR
IGHD5-18,chr14,105893542,105893561,-,IG_TR
IGHD4-17,chr14,105894508,105894523,-,IG_TR
IGHD3-16,chr14,105895634,105895670,-,IG_TR
IGHD2-15,chr14,105897957,105897987,-,IG_TR
IGHD1-14,chr14,105900638,105900654,-,IG_TR
IGHD6-13,chr14,105901142,105901162,-,IG_TR
IGHD5-12,chr14,105902649,105902671,-,IG_TR
IGHD4-11,chr14,105903616,105903631,-,IG_TR
IGHD3-10,chr14,105904497,105904527,-,IG_TR
IGHD3-9,chr14,105904681,105904711,-,IG_TR
IGHD2-8,chr14,105907211,105907241,-,IG_TR
IGHD1-7,chr14,105909907,105909923,-,IG_TR
IGHD6-6,chr14,105910410,105910427,-,IG_TR
IGHD5-5,chr14,105912257,105912276,-,IG_TR
IGHD4-4,chr14,105913222,105913237,-,IG_TR
IGHD3-3,chr14,105914359,105914389,-,IG_TR
IGHD2-2,chr14,105916826,105916856,-,IG_TR
IGHD1-1,chr14,105919502,105919518,-,IG_TR
IGHV6-1,chr14,105939756,105940253,-,IG_TR
IGHV1-2,chr14,105986582,105987083,-,IG_TR
IGHV1-3,chr14,106005095,106005574,-,IG_TR
IGHV4-4,chr14,106011922,106012420,-,IG_TR
IGHV7-4-1,chr14,106025145,106025630,-,IG_TR
IGHV2-5,chr14,106037902,106038365,-,IG_TR
IGHV3-7,chr14,106062151,106062683,-,IG_TR
IGHV3-64D,chr14,106088122,106088573,-,IG_TR
IGHV5-10-1,chr14,106107972,106108464,-,IG_TR
IGHV3-11,chr14,106116635,106117204,-,IG_TR
IGHV3-13,chr14,106129540,106130072,-,IG_TR
IGHV3-15,chr14,106153624,106154163,-,IG_TR
IGHV3-16,chr14,106165205,106165730,-,IG_TR
IGHV1-18,chr14,106184901,106185394,-,IG_TR
IGHV3-19,chr14,106196700,106196990,-,IG_TR
IGHV3-20,chr14,106210936,106211453,-,IG_TR
IGHV3-21,chr14,106235064,106235594,-,IG_TR
IGHV3-22,chr14,106257762,106258223,-,IG_TR
IGHV3-23,chr14,106268606,106269140,-,IG_TR
IGHV1-24,chr14,106276548,106277043,-,IG_TR
IGHV3-25,chr14,106289029,106289479,-,IG_TR
IGHV2-26,chr14,106301396,106301862,-,IG_TR
IGHV4-28,chr14,106324254,106324760,-,IG_TR
IGHV3-32,chr14,106331106,106331563,-,IG_TR
IGHV3-30,chr14,106335082,106335613,-,IG_TR
IGHV3-30-2,chr14,106344385,106344833,-,IG_TR
IGHV4-31,chr14,106349283,106349792,-,IG_TR
IGHV3-29,chr14,106356145,106356591,-,IG_TR
IGHV3-33,chr14,106359793,106360324,-,IG_TR
IGHV3-33-2,chr14,106369107,106369546,-,IG_TR
IGHV4-34,chr14,106373663,106374145,-,IG_TR
IGHV7-34-1,chr14,106377300,106377733,-,IG_TR
IGHV3-35,chr14,106389392,106389858,-,IG_TR
IGHV3-38,chr14,106410493,106411021,-,IG_TR
IGHV4-39,chr14,106421711,106422218,-,IG_TR
IGHV7-40,chr14,106425359,106425654,-,IG_TR
IGHV3-41,chr14,106443133,106443583,-,IG_TR
IGHV3-43,chr14,106470264,106470800,-,IG_TR
IGHV1-45,chr14,106506996,106507491,-,IG_TR
IGHV1-46,chr14,106511117,106511856,-,IG_TR
IGHV3-47,chr14,106518582,106519027,-,IG_TR
IGHV3-48,chr14,106537810,106538344,-,IG_TR
IGHV3-49,chr14,106556936,106557477,-,IG_TR
IGHV5-51,chr14,106578744,106579236,-,IG_TR
IGHV8-51-1,chr14,106583501,106583807,-,IG_TR
IGHV3-52,chr14,106586376,106586826,-,IG_TR
IGHV3-53,chr14,106592676,106593347,-,IG_TR
IGHV3-54,chr14,106601346,106601792,-,IG_TR
IGHV4-55,chr14,106606101,106606551,-,IG_TR
IGHV1-58,chr14,106622357,106622855,-,IG_TR
IGHV4-59,chr14,106627249,106627825,-,IG_TR
IGHV4-61,chr14,106639119,106639657,-,IG_TR
IGHV3-62,chr14,106643142,106643585,-,IG_TR
IGHV3-63,chr14,106652237,106652681,-,IG_TR
IGHV3-64,chr14,106657725,106658258,-,IG_TR
IGHV3-66,chr14,106675017,106675544,-,IG_TR
IGHV1-68,chr14,106703846,106704286,-,IG_TR
IGHV1-69,chr14,106714684,106715181,-,IG_TR
IGHV2-70D,chr14,106723574,106724093,-,IG_TR
IGHV3-69-1,chr14,106728163,106728615,-,IG_TR
IGHV1-69-2,chr14,106737110,106737547,-,IG_TR
IGHV1-69D,chr14,106762092,106762588,-,IG_TR
IGHV2-70,chr14,106770577,106771020,-,IG_TR
IGHV3-71,chr14,106775157,106775618,-,IG_TR
IGHV3-72,chr14,106790694,106791233,-,IG_TR
IGHV3-73,chr14,106802694,106803233,-,IG_TR
IGHV3-74,chr14,106810442,106811131,-,IG_TR
IGHV5-78,chr14,106851123,106851417,-,IG_TR
IGHV7-81,chr14,106874583,106875071,-,IG_TR
IGKJ5,chr2,88860568,88860605,-,IG_TR
IGKJ4,chr2,88860886,88860922,-,IG_TR
IGKJ3,chr2,88861221,88861258,-,IG_TR
IGKJ2,chr2,88861525,88861563,-,IG_TR
IGKJ1,chr2,88861886,88861923,-,IG_TR
IGKV4-1,chr2,88885397,88886153,+,IG_TR
IGKV5-2,chr2,88897232,88897784,+,IG_TR
IGKV7-3,chr2,88915081,88915378,-,IG_TR
IGKV2-4,chr2,88931666,88932380,-,IG_TR
IGKV1-5,chr2,88947301,88947957,-,IG_TR
IGKV1-6,chr2,88966262,88966767,-,IG_TR
IGKV3-7,chr2,88978468,88979081,-,IG_TR
IGKV1-8,chr2,88992409,88992931,-,IG_TR
IGKV1-9,chr2,89009982,89010515,-,IG_TR
IGKV3-11,chr2,89027171,89027731,-,IG_TR
IGKV1-12,chr2,89040224,89040745,-,IG_TR
IGKV1-13,chr2,89045995,89046466,-,IG_TR
IGKV3-15,chr2,89085177,89085787,-,IG_TR
IGKV1-16,chr2,89099859,89100361,-,IG_TR
IGKV1-17,chr2,89117342,89117844,-,IG_TR
IGKV2-18,chr2,89128724,89129483,-,IG_TR
IGKV3-20,chr2,89142574,89143160,-,IG_TR
IGKV6-21,chr2,89159751,89160366,-,IG_TR
IGKV2-24,chr2,89176328,89177160,-,IG_TR
IGKV1-27,chr2,89213423,89213928,-,IG_TR
IGKV2-28,chr2,89221698,89222461,-,IG_TR
IGKV2-29,chr2,89234174,89234912,-,IG_TR
IGKV2-30,chr2,89244781,89245596,-,IG_TR
IGKV1-33,chr2,89268001,89268506,-,IG_TR
IGKV1-37,chr2,89297264,89297785,-,IG_TR
IGKV1-39,chr2,89319625,89320146,-,IG_TR
IGKV2-40,chr2,89330116,89330429,-,IG_TR
IGKV2D-40,chr2,89851758,89852493,+,IG_TR
IGKV1D-39,chr2,89862482,89862981,+,IG_TR
IGKV1D-37,chr2,89884740,89885216,+,IG_TR
IGKV1D-33,chr2,89913982,89914545,+,IG_TR
IGKV2D-30,chr2,89936859,89937679,+,IG_TR
IGKV2D-29,chr2,89947512,89948269,+,IG_TR
IGKV2D-28,chr2,89959979,89960748,+,IG_TR
IGKV2D-26,chr2,89985922,89986702,+,IG_TR
IGKV2D-24,chr2,90004797,90005629,+,IG_TR
IGKV6D-21,chr2,90021567,90022185,+,IG_TR
IGKV3D-20,chr2,90038848,90039479,+,IG_TR
IGKV2D-18,chr2,90052581,90053372,+,IG_TR
IGKV6D-41,chr2,90069662,90070238,+,IG_TR
IGKV1D-17,chr2,90082635,90083291,+,IG_TR
IGKV1D-16,chr2,90100236,90100738,+,IG_TR
IGKV3D-15,chr2,90114838,90115402,+,IG_TR
IGKV1D-13,chr2,90154073,90154574,+,IG_TR
IGKV1D-12,chr2,90159840,90160335,+,IG_TR
IGKV3D-11,chr2,90172802,90173414,+,IG_TR
IGKV1D-42,chr2,90190193,90190681,+,IG_TR
IGKV1D-43,chr2,90209873,90210529,+,IG_TR
IGKV1D-8,chr2,90220727,90221384,+,IG_TR
IGKV3D-7,chr2,90234812,90235370,+,IG_TR
IGLV4-69,chr22,22030934,22031472,+,IG_TR
IGLV1-62,chr22,22086561,22087110,+,IG_TR
IGLV8-61,chr22,22098700,22099212,+,IG_TR
IGLV4-60,chr22,22162199,22162681,+,IG_TR
IGLV6-57,chr22,22195799,22196276,+,IG_TR
IGLV11-55,chr22,22201663,22202161,+,IG_TR
IGLV10-54,chr22,22214794,22215270,+,IG_TR
IGLV5-52,chr22,22318727,22319226,+,IG_TR
IGLV1-51,chr22,22322472,22322969,+,IG_TR
IGLV1-50,chr22,22327300,22327814,+,IG_TR
IGLV9-49,chr22,22343187,22343732,+,IG_TR
IGLV5-48,chr22,22352940,22353433,+,IG_TR
IGLV1-47,chr22,22357739,22358260,+,IG_TR
IGLV7-46,chr22,22369614,22370087,+,IG_TR
IGLV5-45,chr22,22375986,22376505,+,IG_TR
IGLV1-44,chr22,22380766,22381347,+,IG_TR
IGLV7-43,chr22,22395018,22395489,+,IG_TR
IGLV1-41,chr22,22404207,22404721,+,IG_TR
IGLV1-40,chr22,22409766,22410282,+,IG_TR
IGLV5-37,chr22,22427540,22428035,+,IG_TR
IGLV1-36,chr22,22431958,22432465,+,IG_TR
IGLV2-34,chr22,22580014,22580296,+,IG_TR
IGLV2-33,chr22,22588155,22588688,+,IG_TR
IGLV3-32,chr22,22594528,22595056,+,IG_TR
IGLV3-31,chr22,22604445,22605165,+,IG_TR
IGLV3-27,chr22,22668288,22668806,+,IG_TR
IGLV3-25,chr22,22686726,22687271,+,IG_TR
IGLV2-23,chr22,22697789,22698407,+,IG_TR
IGLV3-22,chr22,22704265,22704822,+,IG_TR
IGLV3-21,chr22,22711689,22713203,+,IG_TR
IGLV3-19,chr22,22720623,22721145,+,IG_TR
IGLV2-18,chr22,22734607,22735089,+,IG_TR
IGLV3-16,chr22,22747383,22747921,+,IG_TR
IGLV2-14,chr22,22758700,22759218,+,IG_TR
IGLV3-13,chr22,22762294,22762516,+,IG_TR
IGLV3-12,chr22,22771824,22772582,+,IG_TR
IGLV2-11,chr22,22792491,22793007,+,IG_TR
IGLV3-10,chr22,22811747,22812281,+,IG_TR
IGLV3-9,chr22,22819010,22819756,+,IG_TR
IGLV2-8,chr22,22822658,22823289,+,IG_TR
IGLV2-5,chr22,22856762,22857038,+,IG_TR
IGLV4-3,chr22,22871507,22872035,+,IG_TR
IGLV3-1,chr22,22880706,22881396,+,IG_TR
IGLJ1,chr22,22893692,22893818,+,IG_TR
IGLJ2,chr22,22899481,22899655,+,IG_TR
IGLJ3,chr22,22904850,22905025,+,IG_TR
IGLJ4,chr22,22910574,22910606,+,IG_TR
IGLJ5,chr22,22914237,22914308,+,IG_TR
IGLJ6,chr22,22918132,22918201,+,IG_TR
IGLJ7,chr22,22921390,22921435,+,IG_TR
TRGJ2,chr7,38253380,38253429,-,IG_TR
TRGJP2,chr7,38256337,38256396,-,IG_TR
TRGJ1,chr7,38269491,38269540,-,IG_TR
TRGJP,chr7,38273587,38273647,-,IG_TR
TRGJP1,chr7,38276259,38276318,-,IG_TR
TRGV11,chr7,38291616,38292078,-,IG_TR
TRGV10,chr7,38299811,38300322,-,IG_TR
TRGV9,chr7,38317017,38318861,-,IG_TR
TRGVA,chr7,38322446,38322730,-,IG_TR
TRGV8,chr7,38330343,38330935,-,IG_TR
TRGV5P,chr7,38345030,38345499,-,IG_TR
TRGV5,chr7,38349355,38350022,-,IG_TR
TRGV4,chr7,38353715,38354517,-,IG_TR
TRGV3,chr7,38358512,38359162,-,IG_TR
TRGV2,chr7,38362864,38363518,-,IG_TR
TRGV1,chr7,38367586,38368169,-,IG_TR
TRBV1,chr7,142299177,142299460,+,IG_TR
TRBV2,chr7,142300924,142301432,+,IG_TR
TRBV3-1,chr7,142308542,142309048,+,IG_TR
TRBV4-1,chr7,142313184,142313666,+,IG_TR
TRBV5-1,chr7,142320677,142321544,+,IG_TR
TRBV6-1,chr7,142328297,142328786,+,IG_TR
TRBV7-1,chr7,142332182,142332701,+,IG_TR
TRBV4-2,chr7,142345421,142345985,+,IG_TR
TRBV6-2,chr7,142349152,142349664,+,IG_TR
TRBV7-2,chr7,142352819,142353358,+,IG_TR
TRBV6-4,chr7,142380806,142381261,+,IG_TR
TRBV7-3,chr7,142384329,142384841,+,IG_TR
TRBV5-3,chr7,142389202,142389668,+,IG_TR
TRBV9,chr7,142391891,142392412,+,IG_TR
TRBV10-1,chr7,142399860,142400377,+,IG_TR
TRBV11-1,chr7,142407672,142408136,+,IG_TR
TRBV12-1,chr7,142415224,142415666,+,IG_TR
TRBV10-2,chr7,142424965,142425465,+,IG_TR
TRBV11-2,chr7,142433895,142434394,+,IG_TR
TRBV12-2,chr7,142440883,142441325,+,IG_TR
TRBV6-5,chr7,142450947,142451448,+,IG_TR
TRBV7-4,chr7,142455174,142455635,+,IG_TR
TRBV5-4,chr7,142462916,142463581,+,IG_TR
TRBV6-6,chr7,142469537,142470013,+,IG_TR
TRBV5-5,chr7,142482548,142483019,+,IG_TR
TRBV6-7,chr7,142487863,142488295,+,IG_TR
TRBV7-6,chr7,142492132,142492673,+,IG_TR
TRBV5-6,chr7,142500028,142500534,+,IG_TR
TRBV6-8,chr7,142507382,142507810,+,IG_TR
TRBV7-7,chr7,142511626,142512127,+,IG_TR
TRBV5-7,chr7,142520090,142520556,+,IG_TR
TRBV7-9,chr7,142529290,142529762,+,IG_TR
TRBV13,chr7,142535809,142536292,+,IG_TR
TRBV10-3,chr7,142544212,142544685,+,IG_TR
TRBV11-3,chr7,142554836,142555318,+,IG_TR
TRBV12-3,chr7,142560423,142560931,+,IG_TR
TRBV12-4,chr7,142563740,142564245,+,IG_TR
TRBV12-5,chr7,142580917,142581427,+,IG_TR
TRBV14,chr7,142587868,142588359,+,IG_TR
TRBV15,chr7,142592928,142593473,+,IG_TR
TRBV16,chr7,142598016,142598469,+,IG_TR
TRBV17,chr7,142601628,142602360,+,IG_TR
TRBV18,chr7,142615716,142616415,+,IG_TR
TRBV19,chr7,142618849,142619532,+,IG_TR
TRBV20-1,chr7,142626649,142627399,+,IG_TR
TRBV21-1,chr7,142636924,142637384,+,IG_TR
TRBV23-1,chr7,142645961,142646467,+,IG_TR
TRBV24-1,chr7,142656701,142657213,+,IG_TR
TRBV25-1,chr7,142670740,142671244,+,IG_TR
TRBV26,chr7,142695699,142696183,+,IG_TR
TRBV27,chr7,142715346,142715861,+,IG_TR
TRBV28,chr7,142720660,142721160,+,IG_TR
TRBV29-1,chr7,142740206,142740894,+,IG_TR
TRBD1,chr7,142786213,142786224,+,IG_TR
TRBJ1-1,chr7,142786880,142786927,+,IG_TR
TRBJ1-2,chr7,142787017,142787064,+,IG_TR
TRBJ1-3,chr7,142787630,142787679,+,IG_TR
TRBJ1-4,chr7,142788225,142788275,+,IG_TR
TRBJ1-5,chr7,142788498,142788547,+,IG_TR
TRBJ1-6,chr7,142788988,142789040,+,IG_TR
TRBJ2-1,chr7,142796365,142796414,+,IG_TR
TRBJ2-2,chr7,142796560,142796610,+,IG_TR
TRBJ2-2P,chr7,142796697,142796742,+,IG_TR
TRBJ2-3,chr7,142796847,142796895,+,IG_TR
TRBJ2-4,chr7,142796998,142797047,+,IG_TR
TRBJ2-5,chr7,142797119,142797166,+,IG_TR
TRBJ2-6,chr7,142797239,142797291,+,IG_TR
TRBJ2-7,chr7,142797456,142797502,+,IG_TR
TRBV30,chr7,142812586,142813399,-,IG_TR
